VMName,BusinessUnit,SubUnit,CostCentre,Project,vCPU,vRAM,vDisk,vCPUHours,GBMemHours,GBStorHours,DR,StorageTier,ChargevCPU,ChargevRAM,ChargevDisk,Moref,ResourceSubtotal,Backup,BackupCost,Total,BillingPeriod
sydnwdbad50,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,120.0,136.0,Feb-2024
SYDNWCOMP40,GRPINFR,PRD,609100.0,<blank>,2.0,4.0,60.0,1392.0,2784.0,32016,103.56,,42.6,93.2,4.6,vm-4839,140.4,no,0.0,243.96,Feb-2024
SYDNWSTPSQLP-DR (28c6d6b3-fa4d-4b3f-ba81-8b8e6b4ecf11),GCRP,,,,,,,1392.0,8352.0,298584,,,42.6,279.6,136.95,,459.15,yes,9.3,484.45,Feb-2024
sydnwinfp139,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.8,23.8,Feb-2024
SYDNWWEBS06,S&L,QA,623000.0,,2.0,4.0,60.0,894.0,1788.0,41064,,,27.359483,59.856897,5.9,vm-33475,93.116379,no,0.0,93.116379,Feb-2024
SYDNWSGWD02,S&L,PRD,62920000.0,,4.0,16.0,220.0,1692.0,6768.0,143376,,,51.781034,226.572414,20.6,vm-33672,298.953448,no,0.0,298.953448,Feb-2024
sydnupptp01-iyyy,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,16.2,32.2,Feb-2024
sydnwinfddc4,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.8,23.8,Feb-2024
SYDNWSGWP01 (a554fb5f-5454-4c71-839c-b9e30706478e),GRPINFR,,,,12.0,26.0,373.0,8352.0,18096.0,187920,378.68,,255.6,605.8,27.0,vm-4855,888.4,yes,16.35,1299.43,Feb-2024
SYDNWDPRD01,CORP,DEV,603150.0,<blank>,2.0,3.0,100.0,1392.0,2088.0,60552,,,42.6,69.9,8.7,vm-33721,121.2,no,0.0,121.2,Feb-2024
SYDNWINFD129,S&L,Dev,62920000.0,,2.0,4.0,60.0,1392.0,2784.0,32712,,,42.6,93.2,4.7,vm-33457,140.5,no,0.0,140.5,Feb-2024
grcl_sydnwsapd203,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,357.9,373.9,Feb-2024
sydnwinfp150,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,14.1,30.1,Feb-2024
